apt_id,region_id,apt_name,kapt_code,is_available,created_at,updated_at,is_deleted
1,10843,경희궁의아침4단지,A10021295,,,,f
2,10843,경희궁파크팰리스,A10021652,,,,f
3,10843,경희궁의아침3단지,A11007001,,,,f
4,10843,경희궁의아침2단지,A11087101,,,,f
5,10846,광화문스페이스본 아파트,A11005401,,,,f
6,10849,로얄팰리스스위트,A11014001,,,,f
7,10858,현대뜨레비앙,A11034001,,,,f
8,10862,낙원아파트,A10020992,,,,f
9,10882,효성주얼리시티아파트,A11041001,,,,f
10,10887,포레스트힐시티,A10027162,,,,f
11,10892,힐스테이트 창경궁,A10023586,,,,f
12,10764,명륜아남2차아파트,A10023741,,,,f
13,10764,명륜아남1차,A11052201,,,,f
14,10764,주상복합아남아파트,A11076701,,,,f
15,10767,창신이수아파트,A10021626,,,,f
16,10767,창신두산,A11054101,,,,f
17,10767,창신쌍용1단지,A11054301,,,,f
18,10767,창신쌍용아파트2단지,A11077101,,,,f
19,10768,숭인상가아파트,A10024713,,,,f
20,10768,종로청계힐스테이트,A11055002,,,,f
21,10768,롯데캐슬천지인,A11087601,,,,f
22,10768,종로센트레빌,A11087602,,,,f
23,10770,경희궁자이3단지,A10027105,,,,f
24,10772,경희궁자이2단지 아파트,A10027118,,,,f
25,10773,경희궁자이4단지주상복합,A10026940,,,,f
26,10774,경희궁자이1단지(임대아파트),A10026946,,,,f
27,10775,구기동 청구빌라,A10021355,,,,f
28,10775,동익빌라,A10024669,,,,f
29,10776,평창동 롯데캐슬로잔,A10021278,,,,f
30,10776,금강하이츠빌라,A10021787,,,,f
31,10776,금강주택,A10024780,,,,f
32,10776,평창삼성,A11001203,,,,f
33,10776,평창롯데,A11084601,,,,f
34,10780,경희궁 롯데캐슬아파트,A10025710,,,,f
35,10780,인왕산2차아이파크아파트,A10027708,,,,f
36,10780,무악현대임대아파트,A11008001,,,,f
37,10780,인왕산아이파크,A11081302,,,,f
38,10780,무악현대아파트,A11081503,,,,f
39,10799,남대문(양동) 단지,A10020414,,,,f
40,10802,남산SK리더스뷰,A10088101,,,,f
41,10802,남산롯데캐슬아이리스,A10088102,,,,f
42,10803,쌍용남산플래티넘,A10072501,,,,f
43,10813,남산센트럴자이,A10071301,,,,f
44,10813,충무로진양,A10086301,,,,f
45,10814,충무로엘크루메트로시티2,A10025223,,,,f
46,10815,세운푸르지오헤리시티,A10023352,,,,f
47,10815,인현신성,A10028201,,,,f
48,10817,힐스테이트 남산,A10022761,,,,f
49,10817,묵정아파트,A10026849,,,,f
50,10718,오렌지카운티 을지로,A10024327,,,,f
51,10720,힐스테이트세운센트럴2단지,A10023343,,,,f
52,10720,힐스테이트세운센트럴1단지,A10023356,,,,f
53,10726,한진그랑빌,A10021020,,,,f
54,10726,약수역 더시티,A10023488,,,,f
55,10726,신당KCC스위첸아파트,A10025372,,,,f
56,10726,신당 파인힐 하나유보라,A10025456,,,,f
57,10726,신당푸르지오,A10045001,,,,f
58,10726,청구e편한세상(분양),A10045002,,,,f
59,10726,신당남산타운임대,A10045301,,,,f
60,10726,신당남산타운(분양),A10045302,,,,f
61,10726,신당삼성임대,A10045401,,,,f
62,10726,약수하이츠아파트(임대),A10045402,,,,f
63,10726,신당삼성(분양),A10045403,,,,f
64,10726,신당약수하이츠,A10045404,,,,f
65,10726,신당현대,A10045601,,,,f
66,10726,파라다이스,A10078102,,,,f
67,10726,청구e편한세상임대,A10078103,,,,f
68,10726,래미안신당하이베르,A10078901,,,,f
69,10726,래미안신당하이베르임대,A10078902,,,,f
70,10727,동대문와이즈캐슬,A10095501,,,,f
71,10727,청계천두산위브더제니스,A10095502,,,,f
72,10729,황학코아루,A10024801,,,,f
73,10729,SH황학롯데캐슬베네치아,A10044001,,,,f
74,10729,롯데캐슬베네치아,A10044002,,,,f
75,10729,황학아크로타워,A10086801,,,,f
76,10731,정동상림원아파트,A10023548,,,,f
77,10731,삼정아트테라스정동,A10024359,,,,f
78,10732,순화동포스코더샵,A10024756,,,,f
79,10732,덕수궁롯데캐슬아파트,A10027364,,,,f
80,10735,더플레이스충정로,A10023788,,,,f
81,10735,중림삼성래미안아파트,A10085902,,,,f
82,10735,중림삼성사이버빌리지,A10085903,,,,f
83,10735,브라운스톤서울아파트,A10095301,,,,f
84,10737,엘아이지서울역리가,A10080701,,,,f
85,10738,서울역한라비발디센트럴아파트,A10026517,,,,f
86,10738,서울역센트럴자이아파트,A10026881,,,,f
87,10740,후암미주,A14019001,,,,f
88,10743,용산 남영역 롯데캐슬 헤리티지,A10020608,,,,f
89,10746,동부센트레빌아스테리움서울,A14070901,,,,f
90,10747,어반허브 서울스테이션,A10020656,,,,f
91,10751,용산원효루미니,A10023798,,,,f
92,10751,리첸시아용산,A14070301,,,,f
93,10751,용산더프라임,A14070302,,,,f
94,10753,신창세방리버하이빌,A14006001,,,,f
95,10754,한강타운,A14004001,,,,f
96,10754,리버힐삼성아파트,A14004002,,,,f
97,10754,산천리버힐제2,A14076401,,,,f
98,10755,sk청암대아파트,A10023464,,,,f
99,10755,청암자이,A14005001,,,,f
100,10757,풍전아파트,A10022232,,,,f
101,10757,원효산호,A14085002,,,,f
102,10757,원효로강변삼성스위트,A14085101,,,,f
103,10758,용산데시앙포레아파트,A10023858,,,,f
104,10758,용산롯데캐슬센터포레아파트,A10025533,,,,f
105,10758,용산kcc스위첸,A10025898,,,,f
106,10758,효창파크푸르지오,A14074101,,,,f
107,10758,효창한신,A14074102,,,,f
108,10759,도원삼성제2,A14007001,,,,f
