region_id,region_name,region_code,city_name,created_at,updated_at,is_deleted
1,물치리,5183035025,강원특별자치도,2026-01-13 13:16:13.388277,2026-01-13 13:16:13.38828,f
2,간곡리,5183035026,강원특별자치도,2026-01-13 13:16:13.408777,2026-01-13 13:16:13.40878,f
3,둔전리,5183035027,강원특별자치도,2026-01-13 13:16:13.416367,2026-01-13 13:16:13.416371,f
4,석교리,5183035028,강원특별자치도,2026-01-13 13:16:13.42634,2026-01-13 13:16:13.426346,f
5,침교리,5183035029,강원특별자치도,2026-01-13 13:16:13.436915,2026-01-13 13:16:13.436919,f
6,회룡리,5183035030,강원특별자치도,2026-01-13 13:16:13.441569,2026-01-13 13:16:13.441573,f
7,금풍리,5183035031,강원특별자치도,2026-01-13 13:16:13.446474,2026-01-13 13:16:13.446478,f
8,사교리,5183035032,강원특별자치도,2026-01-13 13:16:13.451223,2026-01-13 13:16:13.451226,f
9,방축리,5183035033,강원특별자치도,2026-01-13 13:16:13.455791,2026-01-13 13:16:13.455794,f
10,답리,5183035034,강원특별자치도,2026-01-13 13:16:13.464492,2026-01-13 13:16:13.464498,f
11,광석리,5183035035,강원특별자치도,2026-01-13 13:16:13.470343,2026-01-13 13:16:13.470346,f
12,정암리,5183035036,강원특별자치도,2026-01-13 13:16:13.476545,2026-01-13 13:16:13.476552,f
13,용호리,5183035037,강원특별자치도,2026-01-13 13:16:13.489712,2026-01-13 13:16:13.489718,f
14,장산리,5183035038,강원특별자치도,2026-01-13 13:16:13.499578,2026-01-13 13:16:13.49958,f
15,전진리,5183035039,강원특별자치도,2026-01-13 13:16:13.505159,2026-01-13 13:16:13.505162,f
16,주청리,5183035040,강원특별자치도,2026-01-13 13:16:13.510516,2026-01-13 13:16:13.510518,f
17,적은리,5183035041,강원특별자치도,2026-01-13 13:16:13.515496,2026-01-13 13:16:13.515498,f
18,물갑리,5183035042,강원특별자치도,2026-01-13 13:16:13.519831,2026-01-13 13:16:13.519835,f
19,하왕도리,5183032037,강원특별자치도,2026-01-13 13:16:13.524334,2026-01-13 13:16:13.524337,f
20,도화리,5183032038,강원특별자치도,2026-01-13 13:16:13.532977,2026-01-13 13:16:13.53298,f
21,송현리,5183032039,강원특별자치도,2026-01-13 13:16:13.538162,2026-01-13 13:16:13.538164,f
22,주리,5183032040,강원특별자치도,2026-01-13 13:16:13.543921,2026-01-13 13:16:13.543923,f
23,여운포리,5183032041,강원특별자치도,2026-01-13 13:16:13.548188,2026-01-13 13:16:13.548189,f
24,상운리,5183032042,강원특별자치도,2026-01-13 13:16:13.552348,2026-01-13 13:16:13.55235,f
25,밀양리,5183032043,강원특별자치도,2026-01-13 13:16:13.556057,2026-01-13 13:16:13.556058,f
26,우암리,5183032044,강원특별자치도,2026-01-13 13:16:13.560134,2026-01-13 13:16:13.560136,f
27,현북면,5183033000,강원특별자치도,2026-01-13 13:16:13.567056,2026-01-13 13:16:13.567059,f
28,잔교리,5183033021,강원특별자치도,2026-01-13 13:16:13.57231,2026-01-13 13:16:13.572314,f
29,기사문리,5183033022,강원특별자치도,2026-01-13 13:16:13.576542,2026-01-13 13:16:13.576544,f
30,명지리,5183033023,강원특별자치도,2026-01-13 13:16:13.581945,2026-01-13 13:16:13.581948,f
31,장리,5183033024,강원특별자치도,2026-01-13 13:16:13.586475,2026-01-13 13:16:13.586478,f
32,도리,5183033025,강원특별자치도,2026-01-13 13:16:13.590236,2026-01-13 13:16:13.590253,f
33,말곡리,5183033026,강원특별자치도,2026-01-13 13:16:13.594203,2026-01-13 13:16:13.594206,f
34,대치리,5183033027,강원특별자치도,2026-01-13 13:16:13.602235,2026-01-13 13:16:13.602256,f
35,상광정리,5183033028,강원특별자치도,2026-01-13 13:16:13.607685,2026-01-13 13:16:13.607689,f
36,중광정리,5183033029,강원특별자치도,2026-01-13 13:16:13.612052,2026-01-13 13:16:13.612054,f
37,하광정리,5183033030,강원특별자치도,2026-01-13 13:16:13.616644,2026-01-13 13:16:13.616647,f
38,어성전리,5183033031,강원특별자치도,2026-01-13 13:16:13.622037,2026-01-13 13:16:13.622039,f
