분류명,area_code,region_code
서울,500008,11000000
경기,500009,41000000
인천,500010,28000000
부산,500011,26000000
대구,500012,27000000
광주,500013,29000000
대전,500014,30000000
울산,500015,31000000
세종,500016,36110000
강원,500017,51000000
충북,500018,43000000
충남,500019,44000000
전북,500020,52000000
전남,500021,46000000
경북,500022,47000000
경남,500023,48000000
제주,500024,50000000
인천>중구,510020,28110000
인천>동구,510021,28140000
인천>미추홀구,510022,28177000
인천>연수구,510023,28185000
인천>남동구,510024,28200000
인천>부평구,510025,28237000
인천>계양구,510026,28245000
인천>서구,510027,28260000
대구>중구,510033,27110000
대구>동구,510034,27140000
대구>서구,510035,27170000
대구>남구,510036,27200000
대구>북구,510037,27230000
대구>수성구,510038,27260000
대구>달서구,510039,27290000
대구>달성군,510040,27710000
광주>동구,510042,29110000
광주>서구,510043,29140000
광주>남구,510044,29155000
광주>북구,510045,29170000
광주>광산구,510046,29200000
대전>동구,510048,30110000
대전>중구,510049,30140000
대전>서구,510050,30170000
대전>유성구,510051,30200000
대전>대덕구,510052,30230000
울산>중구,510054,31110000
울산>남구,510055,31140000
울산>동구,510056,31170000
울산>북구,510057,31200000
울산>울주군,510058,31710000
강원>춘천시,510061,51110000
강원>원주시,510062,51130000
강원>강릉시,510063,51150000
강원>동해시,510064,51170000
강원>태백시,510065,51190000
강원>속초시,510066,51210000
강원>삼척시,510067,51230000
충북>청주시,510069,43110000
충북>충주시,510070,43130000
충북>제천시,510071,43150000
충북>음성군,510072,43770000
충남>천안시,510074,44130000
충남>공주시,510075,44150000
충남>보령시,510076,44180000
충남>아산시,510077,44200000
충남>서산시,510078,44210000
충남>논산시,510079,44230000
충남>계룡시,510080,44250000
충남>홍성군,510081,44800000
충남>예산군,510082,44810000
충남>당진시,510083,44270000
전북>전주시,510085,52110000
전북>군산시,510086,52130000
전북>익산시,510087,52140000
전북>정읍시,510088,52180000
전북>남원시,510089,52190000
전북>김제시,510090,52210000
전남>목포시,510092,46110000
전남>여수시,510093,46130000
전남>순천시,510094,46150000
전남>나주시,510095,46170000
전남>광양시,510096,46230000
전남>무안군,510097,46840000
경북>포항시,510099,47110000
경북>경주시,510100,47130000
경북>김천시,510101,47150000
경북>안동시,510102,47170000
경북>구미시,510103,47190000
경북>영주시,510104,47210000
경북>영천시,510105,47230000
경북>상주시,510106,47250000
경북>문경시,510107,47280000
경북>경산시,510108,47290000
경북>칠곡군,510109,47850000
경남>창원시,510111,48120000
경남>진주시,510112,48170000
경남>통영시,510113,48220000
경남>사천시,510114,48240000
경남>김해시,510115,48250000
경남>밀양시,510116,48270000
경남>거제시,510117,48310000
경남>양산시,510118,48330000
제주>제주시,510120,50110000
제주>서귀포시,510121,50130000
경기>경부1권>과천시,520018,41290000
경기>경부1권>안양시,520019,41170000
경기>경부1권>성남시,520020,41130000
경기>경부1권>군포시,520021,41410000
경기>경부1권>의왕시,520022,41430000
경기>경부2권>안성시,520024,41550000
경기>경부2권>용인시,520025,41460000
경기>경부2권>수원시,520026,41110000
경기>서해안권>부천시,520028,41190000
경기>서해안권>안산시,520029,41270000
경기>서해안권>시흥시,520030,41390000
경기>서해안권>광명시,520031,41210000
경기>서해안권>화성시,520032,41590000
경기>서해안권>오산시,520033,41370000
경기>서해안권>평택시,520034,41220000
경기>동부1권>남양주시,520036,41360000
경기>동부1권>구리시,520037,41310000
경기>동부1권>하남시,520038,41450000
경기>동부1권>광주시,520039,41610000
경기>동부2권>이천시,520041,41500000
