분류명,area_code,region_code
전국,500001,1000010
서울,500002,11000000
부산,500003,26000000
대구,500004,27000000
인천,500005,28000000
광주,500006,29000000
대전,500007,30000000
울산,500008,31000000
세종,500009,36110000
경기,500010,41000000
강원,500011,51000000
충북,500012,43000000
충남,500013,44000000
전북,500014,52000000
전남,500015,46000000
경북,500016,47000000
경남,500017,48000000
(구)제주,500018,49000000
제주,500019,50000000
서울>종로구,510003,11110000
서울>중구,510004,11140000
서울>용산구,510005,11170000
서울>성동구,510006,11200000
서울>광진구,510007,11215000
서울>동대문구,510008,11230000
서울>중랑구,510009,11260000
서울>성북구,510010,11290000
서울>강북구,510011,11305000
서울>도봉구,510012,11320000
서울>노원구,510013,11350000
서울>은평구,510014,11380000
서울>서대문구,510015,11410000
서울>마포구,510016,11440000
서울>양천구,510017,11470000
서울>강서구,510018,11500000
서울>구로구,510019,11530000
서울>금천구,510020,11545000
서울>영등포구,510021,11560000
서울>동작구,510022,11590000
서울>관악구,510023,11620000
서울>서초구,510024,11650000
서울>강남구,510025,11680000
서울>송파구,510026,11710000
서울>강동구,510027,11740000
부산>중구,510029,26110000
부산>서구,510030,26140000
부산>동구,510031,26170000
부산>영도구,510032,26200000
부산>부산진구,510033,26230000
부산>동래구,510034,26260000
부산>남구,510035,26290000
부산>북구,510036,26320000
부산>해운대구,510037,26350000
부산>사하구,510038,26380000
부산>금정구,510039,26410000
부산>강서구,510040,26440000
부산>연제구,510041,26470000
부산>수영구,510042,26500000
부산>사상구,510043,26530000
부산>기장군,510044,26710000
대구>중구,510046,27110000
대구>동구,510047,27140000
대구>서구,510048,27170000
대구>남구,510049,27200000
대구>북구,510050,27230000
대구>수성구,510051,27260000
대구>달서구,510052,27290000
대구>달성군,510053,27710000
대구>군위군,510054,27720000
인천>중구,510056,28110000
인천>동구,510057,28140000
인천>남구,510058,28170000
인천>미추홀구,510059,28177000
인천>연수구,510060,28185000
인천>남동구,510061,28200000
인천>부평구,510062,28237000
인천>계양구,510063,28245000
인천>서구,510064,28260000
인천>강화군,510065,28710000
인천>옹진군,510066,28720000
광주>동구,510068,29110000
광주>서구,510069,29140000
광주>남구,510070,29155000
광주>북구,510071,29170000
광주>광산구,510072,29200000
대전>동구,510074,30110000
대전>중구,510075,30140000
대전>서구,510076,30170000
대전>유성구,510077,30200000
대전>대덕구,510078,30230000
울산>중구,510080,31110000
울산>남구,510081,31140000
울산>동구,510082,31170000
울산>북구,510083,31200000
울산>울주군,510084,31710000
경기>수원시,510088,41110000
경기>성남시,510089,41130000
경기>의정부시,510090,41150000
경기>안양시,510091,41170000
경기>부천시,510092,41190000
경기>광명시,510093,41210000
경기>평택시,510094,41220000
경기>동두천시,510095,41250000
